chieuDai,chieuNgang,dienTich,Gia/m2,Phongngu,SoTang,PhongTam,Loai,GiayTo,TinhTrangNoiThat,QuanHuyen
15.0,4.5,67.5,4561.666666666667,4,4.0,5.0,"nhà mặt phố, mặt tiền",đã có sổ,nội thất cao cấp,quận bình tân
4.5,8.5,36.0,6886.666666666667,5,4.0,4.0,"nhà ngõ, hẻm",đã có sổ,nội thất đầy đủ,quận phú nhuận
13.5,4.06,54.0,3780.8333333333335,2,1.0,2.0,"nhà ngõ, hẻm",đã có sổ,hoàn thiện cơ bản,quận tân phú
15.0,3.8,50.0,6333.333333333333,5,4.0,6.0,"nhà ngõ, hẻm",đã có sổ,hoàn thiện cơ bản,quận 8
12.0,4.0,48.0,8116.25,9,,7.0,"nhà ngõ, hẻm",đã có sổ,,quận bình thạnh
16.0,4.2,72.0,3935.0,3,3.0,4.0,"nhà ngõ, hẻm",đã có sổ,nội thất cao cấp,quận 7
18.0,5.5,93.0,313.75,4,3.0,,"nhà mặt phố, mặt tiền",đã có sổ,nội thất đầy đủ,huyện bình chánh
14.0,4.0,56.0,3199.5833333333335,2,2.0,2.0,"nhà ngõ, hẻm",đã có sổ,,quận gò vấp
5.0,2.0,10.0,1937.5,2,1.0,2.0,"nhà mặt phố, mặt tiền",đã có sổ,,huyện hóc môn
14.0,3.0,42.0,5902.916666666667,4,3.0,5.0,"nhà ngõ, hẻm",đã có sổ,nội thất đầy đủ,quận gò vấp
8.0,5.0,40.0,3333.3333333333335,2,2.0,2.0,"nhà ngõ, hẻm",đã có sổ,,quận 7
8.0,4.0,32.0,3320.4166666666665,2,2.0,2.0,"nhà mặt phố, mặt tiền",đã có sổ,,quận bình tân
9.0,3.0,27.0,3935.0,2,2.0,2.0,"nhà mặt phố, mặt tiền",đã có sổ,,quận bình tân
8.0,3.0,24.0,4338.333333333333,2,2.0,2.0,"nhà mặt phố, mặt tiền",đã có sổ,,quận bình tân
9.0,5.0,45.0,3147.0833333333335,2,2.0,2.0,"nhà mặt phố, mặt tiền",đã có sổ,,quận bình tân
11.0,5.0,55.0,3787.0833333333335,2,2.0,2.0,"nhà ngõ, hẻm",đã có sổ,nội thất đầy đủ,quận 6
,,51.0,4248.333333333333,3,2.0,,"nhà mặt phố, mặt tiền",đã có sổ,,quận bình tân
16.0,4.0,64.0,2767.0833333333335,4,2.0,,"nhà ngõ, hẻm",đã có sổ,,quận bình tân
10.5,4.1,42.0,5803.75,3,3.0,,"nhà ngõ, hẻm",đã có sổ,nội thất đầy đủ,quận gò vấp
,,40.0,3437.5,3,,,"nhà ngõ, hẻm",đã có sổ,,quận bình tân
,,30.0,7847.083333333333,3,4.0,4.0,"nhà ngõ, hẻm",đã có sổ,nội thất cao cấp,quận phú nhuận
6.5,4.0,26.0,4487.083333333333,2,,2.0,"nhà ngõ, hẻm",đã có sổ,,quận 3
18.0,5.0,90.0,7500.0,3,4.0,5.0,"nhà mặt phố, mặt tiền",đã có sổ,nội thất cao cấp,quận 7
17.0,5.0,85.0,4362.916666666667,4,3.0,5.0,"nhà mặt phố, mặt tiền",đã có sổ,nội thất đầy đủ,quận 7
12.0,3.75,42.0,4345.416666666667,3,3.0,3.0,"nhà ngõ, hẻm",đã có sổ,nội thất cao cấp,quận bình tân
16.0,4.0,67.0,5907.916666666667,4,2.0,2.0,"nhà ngõ, hẻm",đã có sổ,,quận 11
9.0,4.0,36.0,7523.333333333333,3,4.0,4.0,"nhà ngõ, hẻm",đã có sổ,nội thất cao cấp,quận 7
,,92.0,326.25,3,,3.0,"nhà ngõ, hẻm",đã có sổ,,huyện bình chánh
17.0,4.0,80.0,3224.1666666666665,5,3.0,4.0,"nhà ngõ, hẻm",đã có sổ,,quận phú nhuận
12.0,4.0,46.0,6331.666666666667,4,,,"nhà ngõ, hẻm",đã có sổ,,quận 3
,,60.0,4722.083333333333,4,,,"nhà ngõ, hẻm",đã có sổ,,quận gò vấp
4.0,4.0,16.0,3541.6666666666665,3,1.0,2.0,"nhà ngõ, hẻm",đã có sổ,hoàn thiện cơ bản,quận 4
,,60.0,4513.75,4,,,"nhà ngõ, hẻm",đã có sổ,,quận gò vấp
20.0,14.0,270.0,4614.166666666667,11,4.0,7.0,nhà biệt thự,đã có sổ,nội thất cao cấp,quận bình tân
,,40.0,3437.5,4,3.0,,"nhà ngõ, hẻm",đã có sổ,,quận phú nhuận
18.0,6.4,112.0,2522.5,7,2.0,7.0,"nhà ngõ, hẻm",đã có sổ,hoàn thiện cơ bản,quận bình tân
16.0,4.5,72.0,7523.333333333333,11,5.0,7.0,"nhà mặt phố, mặt tiền",đã có sổ,nội thất cao cấp,quận 8
12.0,3.0,36.0,3819.5833333333335,1,1.0,1.0,"nhà ngõ, hẻm",đã có sổ,hoàn thiện cơ bản,quận 6
,,30.0,6388.75,2,,2.0,"nhà ngõ, hẻm",đã có sổ,nội thất cao cấp,quận bình thạnh
11.0,4.0,42.0,10416.666666666666,4,,7.0,"nhà mặt phố, mặt tiền",đã có sổ,nội thất cao cấp,quận 11
,,11.0,3522.9166666666665,2,,3.0,"nhà ngõ, hẻm",đã có sổ,nội thất đầy đủ,quận 7
15.0,3.5,52.0,2443.75,2,2.0,2.0,"nhà ngõ, hẻm",đã có sổ,,quận 12
27.0,5.0,105.0,10912.5,8,6.0,7.0,nhà phố liền kề,đã có sổ,nội thất cao cấp,quận bình thạnh
,,10.0,5125.0,3,1.0,3.0,"nhà mặt phố, mặt tiền",đã có sổ,nội thất đầy đủ,quận 12
12.0,3.0,36.0,1840.4166666666667,2,1.0,2.0,"nhà ngõ, hẻm",sổ chung / công chứng vi bằng,nội thất đầy đủ,huyện nhà bè
,,20.0,2645.8333333333335,3,,,"nhà ngõ, hẻm",đã có sổ,,quận 12
,,49.0,2193.75,2,,,"nhà ngõ, hẻm",đã có sổ,,quận 12
,,20.0,2645.8333333333335,3,,,"nhà ngõ, hẻm",đã có sổ,,quận 12
,,49.0,2193.75,2,,,"nhà ngõ, hẻm",đã có sổ,,quận 12
17.0,6.1,102.0,3267.9166666666665,3,2.0,2.0,"nhà ngõ, hẻm",đã có sổ,,quận tân bình
4.0,3.0,12.0,1736.25,2,3.0,1.0,"nhà ngõ, hẻm",đang chờ sổ,nội thất đầy đủ,huyện nhà bè
,,50.0,4500.0,2,2.0,2.0,"nhà ngõ, hẻm",đã có sổ,hoàn thiện cơ bản,quận phú nhuận
,,20.0,3958.3333333333335,2,,2.0,"nhà ngõ, hẻm",đã có sổ,nội thất cao cấp,quận bình thạnh
13.0,5.5,64.0,3190.0,3,1.0,2.0,"nhà ngõ, hẻm",đã có sổ,,quận gò vấp
,,40.0,7083.333333333333,5,4.0,5.0,"nhà mặt phố, mặt tiền",đã có sổ,nội thất đầy đủ,quận phú nhuận
10.0,4.5,45.0,4212.916666666667,4,3.0,3.0,"nhà ngõ, hẻm",đã có sổ,nội thất cao cấp,quận bình tân
14.0,4.5,63.7,8830.416666666666,2,2.0,2.0,"nhà ngõ, hẻm",đã có sổ,hoàn thiện cơ bản,quận bình thạnh
8.0,4.0,32.0,3710.8333333333335,3,,2.0,"nhà ngõ, hẻm",đã có sổ,,quận 7
14.0,4.0,54.0,3472.0833333333335,2,2.0,2.0,"nhà ngõ, hẻm",đã có sổ,hoàn thiện cơ bản,quận gò vấp
,,132.0,378.75,3,1.0,2.0,"nhà ngõ, hẻm",đã có sổ,nội thất đầy đủ,huyện bình chánh
13.3,3.3,39.0,6730.833333333333,4,3.0,3.0,"nhà ngõ, hẻm",đã có sổ,,quận 11
12.0,4.0,47.0,6205.833333333333,4,3.0,3.0,"nhà mặt phố, mặt tiền",đã có sổ,,quận tân phú
16.0,4.0,64.0,3775.8333333333335,3,2.0,4.0,"nhà ngõ, hẻm",đã có sổ,,quận bình tân
8.0,4.0,32.0,4165.416666666667,2,2.0,2.0,"nhà ngõ, hẻm",đã có sổ,nội thất đầy đủ,quận tân phú
7.0,4.4,30.0,1222.0833333333333,2,2.0,2.0,"nhà ngõ, hẻm",sổ chung / công chứng vi bằng,hoàn thiện cơ bản,huyện bình chánh
8.0,5.0,40.0,4291.666666666667,4,,4.0,"nhà ngõ, hẻm",đã có sổ,nội thất đầy đủ,quận phú nhuận
,,12.0,6562.5,2,2.0,2.0,"nhà ngõ, hẻm",đã có sổ,nội thất đầy đủ,quận phú nhuận
10.0,4.0,40.0,3125.0,3,2.0,3.0,"nhà ngõ, hẻm",đã có sổ,nội thất đầy đủ,quận bình tân
,,15.0,2708.3333333333335,4,1.0,3.0,"nhà ngõ, hẻm",đã có sổ,bàn giao thô,quận 7
12.0,4.0,48.0,2604.1666666666665,3,2.0,2.0,"nhà ngõ, hẻm",đã có sổ,nội thất đầy đủ,quận bình tân
10.0,4.0,36.8,3238.3333333333335,2,2.0,2.0,"nhà ngõ, hẻm",đã có sổ,nội thất đầy đủ,huyện bình chánh
5.0,4.0,20.0,8333.333333333334,2,,,"nhà ngõ, hẻm",đã có sổ,,quận 4
,,41.0,10670.833333333334,3,5.0,,nhà phố liền kề,đã có sổ,,quận 3
7.5,2.0,15.0,3750.0,1,2.0,,"nhà ngõ, hẻm",đã có sổ,,quận tân bình
15.0,4.0,50.0,4166.666666666667,3,3.0,3.0,"nhà ngõ, hẻm",đã có sổ,nội thất đầy đủ,quận tân phú
10.0,4.0,40.0,4010.4166666666665,2,2.0,2.0,"nhà ngõ, hẻm",đã có sổ,nội thất cao cấp,quận bình tân
,,32.0,4946.666666666667,2,,,"nhà ngõ, hẻm",đã có sổ,,quận gò vấp
12.0,4.0,48.0,6510.416666666667,4,4.0,5.0,"nhà mặt phố, mặt tiền",đã có sổ,nội thất đầy đủ,quận bình tân
,,43.0,4845.0,3,3.0,,"nhà ngõ, hẻm",đã có sổ,,quận gò vấp
11.0,4.1,45.0,3009.1666666666665,2,1.0,2.0,nhà phố liền kề,đã có sổ,,quận gò vấp
11.5,3.8,30.0,3958.3333333333335,3,2.0,2.0,"nhà ngõ, hẻm",đã có sổ,nội thất đầy đủ,quận 10
,,50.0,4416.666666666667,3,,2.0,"nhà ngõ, hẻm",đã có sổ,nội thất đầy đủ,quận bình thạnh
,,40.0,2739.5833333333335,4,2.0,3.0,"nhà ngõ, hẻm",đã có sổ,nội thất đầy đủ,quận 12
17.0,5.0,80.0,2755.0,4,1.0,3.0,nhà phố liền kề,đã có sổ,,quận gò vấp
,,27.0,1481.6666666666667,2,,,"nhà ngõ, hẻm",sổ chung / công chứng vi bằng,,quận 12
19.67,5.11,100.5,497.5,3,1.0,2.0,"nhà mặt phố, mặt tiền",đã có sổ,,huyện bình chánh
20.0,10.0,200.0,2895.8333333333335,4,3.0,5.0,nhà biệt thự,đã có sổ,,quận 12
6.0,6.0,32.0,8724.166666666666,3,4.0,3.0,"nhà ngõ, hẻm",đã có sổ,hoàn thiện cơ bản,quận 3
7.0,4.2,29.5,2612.9166666666665,2,,1.0,"nhà ngõ, hẻm",đã có sổ,,quận gò vấp
16.5,4.0,66.0,4353.333333333333,3,,2.0,"nhà ngõ, hẻm",đã có sổ,,quận gò vấp
23.0,4.0,90.0,3935.0,6,2.0,4.0,"nhà ngõ, hẻm",đã có sổ,hoàn thiện cơ bản,quận bình thạnh
13.0,3.0,39.0,5555.416666666667,3,3.0,3.0,"nhà ngõ, hẻm",đã có sổ,nội thất cao cấp,quận 11
13.0,4.0,52.0,4382.916666666667,3,2.0,3.0,"nhà mặt phố, mặt tiền",đã có sổ,nội thất đầy đủ,quận 7
9.0,4.0,37.0,3660.0,3,2.0,2.0,"nhà ngõ, hẻm",đã có sổ,,quận tân bình
19.0,4.0,76.0,2686.25,3,1.0,2.0,"nhà ngõ, hẻm",đã có sổ,,quận tân phú
,,75.0,383.3333333333333,3,,3.0,nhà phố liền kề,đã có sổ,,huyện bình chánh
26.0,7.0,185.0,2677.9166666666665,4,1.0,4.0,"nhà ngõ, hẻm",đã có sổ,,quận bình thạnh
15.0,4.0,60.0,7777.916666666667,5,,,"nhà ngõ, hẻm",đã có sổ,,quận 10
4.0,3.0,12.0,3455.0,2,1.0,2.0,"nhà ngõ, hẻm",đã có sổ,hoàn thiện cơ bản,quận bình tân
10.0,3.8,38.0,3070.0,2,2.0,,"nhà ngõ, hẻm",đã có sổ,nội thất đầy đủ,quận bình tân
13.0,5.0,65.0,6730.833333333333,5,3.0,4.0,"nhà mặt phố, mặt tiền",đã có sổ,nội thất đầy đủ,quận 7
21.0,4.5,90.0,10601.666666666666,5,4.0,5.0,"nhà mặt phố, mặt tiền",đã có sổ,nội thất đầy đủ,quận bình tân
13.4,5.0,66.0,3472.0833333333335,4,2.0,,"nhà ngõ, hẻm",đã có sổ,,quận tân bình
26.0,6.0,177.0,1268.75,3,2.0,4.0,"nhà mặt phố, mặt tiền",đã có sổ,hoàn thiện cơ bản,huyện hóc môn
5.5,4.3,22.0,4166.666666666667,2,2.0,2.0,"nhà ngõ, hẻm",đã có sổ,nội thất đầy đủ,quận 8
11.0,3.7,39.0,5448.75,3,3.0,3.0,"nhà ngõ, hẻm",đã có sổ,hoàn thiện cơ bản,quận tân phú
10.5,4.85,50.0,4658.333333333333,4,3.0,5.0,nhà phố liền kề,đã có sổ,,quận 12
10.0,4.0,40.0,3281.25,2,2.0,2.0,"nhà ngõ, hẻm",đã có sổ,nội thất đầy đủ,quận 12
8.0,8.0,64.0,2506.6666666666665,2,2.0,2.0,"nhà ngõ, hẻm",đã có sổ,,quận 12
6.8,6.0,39.0,8963.75,3,4.0,4.0,nhà biệt thự,đã có sổ,nội thất cao cấp,quận phú nhuận
6.0,3.3,19.3,5073.333333333333,1,2.0,2.0,"nhà ngõ, hẻm",đã có sổ,,quận 4
14.0,4.0,51.0,4493.333333333333,2,2.0,,"nhà ngõ, hẻm",đã có sổ,nội thất đầy đủ,quận 6
17.0,4.0,68.0,2867.5,1,,,"nhà ngõ, hẻm",đã có sổ,,quận tân bình
,,65.0,1185.8333333333333,3,,,"nhà ngõ, hẻm",đã có sổ,,quận 12
,,28.0,2812.5,4,,,"nhà ngõ, hẻm",sổ chung / công chứng vi bằng,,quận 12
,6.2,73.0,5707.916666666667,2,4.0,,"nhà ngõ, hẻm",đã có sổ,,quận tân bình
15.0,5.2,85.4,4098.333333333333,3,2.0,3.0,"nhà ngõ, hẻm",đã có sổ,,quận bình thạnh
30.0,10.0,300.0,72.91666666666667,11,,7.0,"nhà ngõ, hẻm",đã có sổ,nội thất đầy đủ,huyện bình chánh
,,75.0,2888.75,3,,,"nhà ngõ, hẻm",đã có sổ,,quận tân phú
20.0,4.0,80.0,7031.25,5,5.0,6.0,nhà phố liền kề,đã có sổ,,quận 7
28.0,3.0,84.0,6200.416666666667,11,3.0,7.0,"nhà ngõ, hẻm",đã có sổ,nội thất đầy đủ,quận phú nhuận
16.0,4.0,64.0,3841.25,4,,4.0,"nhà ngõ, hẻm",đã có sổ,,quận bình tân
11.0,3.6,38.0,4385.833333333333,2,2.0,2.0,"nhà mặt phố, mặt tiền",đã có sổ,hoàn thiện cơ bản,quận gò vấp
11.0,3.5,38.5,7251.25,5,5.0,5.0,"nhà ngõ, hẻm",đã có sổ,nội thất cao cấp,quận phú nhuận
16.0,4.6,74.0,3660.0,3,2.0,2.0,"nhà ngõ, hẻm",đã có sổ,,quận bình thạnh
12.0,5.2,63.0,9127.083333333334,5,4.0,,"nhà ngõ, hẻm",đã có sổ,nội thất đầy đủ,quận phú nhuận
35.0,11.0,385.0,1374.5833333333333,10,3.0,7.0,"nhà ngõ, hẻm",đã có sổ,nội thất cao cấp,huyện hóc môn
,,71.0,3227.5,1,1.0,1.0,"nhà ngõ, hẻm",đã có sổ,bàn giao thô,quận phú nhuận
14.0,4.0,56.0,4241.25,5,4.0,5.0,"nhà ngõ, hẻm",đã có sổ,,quận bình tân
22.0,3.8,75.0,3272.0833333333335,2,1.0,1.0,"nhà mặt phố, mặt tiền",đã có sổ,,quận 12
15.0,3.8,62.0,2049.5833333333335,2,2.0,2.0,"nhà ngõ, hẻm",đã có sổ,,quận 12
22.0,4.0,90.0,425.8333333333333,1,1.0,1.0,"nhà mặt phố, mặt tiền",đã có sổ,hoàn thiện cơ bản,huyện bình chánh
21.5,4.0,86.0,2713.3333333333335,5,4.0,6.0,"nhà ngõ, hẻm",,nội thất cao cấp,quận bình tân
18.0,4.0,71.0,4166.666666666667,4,4.0,3.0,"nhà ngõ, hẻm",đã có sổ,,quận tân phú
18.0,4.0,72.0,3443.3333333333335,5,4.0,5.0,"nhà mặt phố, mặt tiền",đã có sổ,nội thất cao cấp,quận bình tân
12.0,4.6,55.0,4469.583333333333,4,4.0,5.0,"nhà ngõ, hẻm",đã có sổ,nội thất cao cấp,huyện nhà bè
9.0,4.0,36.0,5208.333333333333,3,1.0,2.0,"nhà ngõ, hẻm",đã có sổ,,quận bình thạnh
6.0,4.0,24.0,746.6666666666666,2,1.0,1.0,"nhà ngõ, hẻm",đã có sổ,,huyện hóc môn
16.2,4.2,72.0,3935.0,3,,4.0,"nhà ngõ, hẻm",đã có sổ,nội thất cao cấp,quận 7
,,100.0,2916.6666666666665,4,2.0,4.0,"nhà ngõ, hẻm",đã có sổ,,quận tân phú
16.0,4.0,64.0,3841.25,4,4.0,4.0,"nhà ngõ, hẻm",đã có sổ,,quận bình tân
17.0,4.0,57.0,5409.166666666667,5,4.0,5.0,"nhà mặt phố, mặt tiền",đã có sổ,nội thất đầy đủ,quận 12
14.0,4.5,60.0,3882.0833333333335,4,3.0,5.0,"nhà ngõ, hẻm",đã có sổ,,quận 12
10.0,3.0,29.0,5000.0,2,2.0,2.0,"nhà ngõ, hẻm",đã có sổ,nội thất đầy đủ,quận 5
