DiaChi,chieuDai,chieuNgang,dienTich,dienTichSuDung,Gia/m2,Phongngu,SoTang,PhongTam,Loai,GiayTo,dacDiem,huongCuaChinh,TinhTrangNoiThat,Gia
"Đường Liên khu 4-5, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",16 m,4 m,65 m²,65 m²,"- 37,69 triệu/m²",2 phòng,2.0,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,"Hẻm xe hơi,Nhà nát",,Nội thất đầy đủ,"2,45 tỷ"
"Đường Lý Chính Thắng, Phường Võ Thị Sáu, Quận 3, Tp Hồ Chí Minh",,,33 m²,,"- 105,76 triệu/m²",5 phòng,,5 phòng,"Nhà ngõ, hẻm",Đã có sổ,,,,"3,49 tỷ"
"Đường Nguyễn Văn Nghi, Phường 7, Quận Gò Vấp, Tp Hồ Chí Minh",7 m,3 m,20 m²,40 m²,- 99 triệu/m²,2 phòng,,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,,,,"1,98 tỷ"
"Đường Số 53, Phường Tân Phong, Quận 7, Tp Hồ Chí Minh",15 m,4 m,60 m²,210 m²,"- 231,67 triệu/m²",5 phòng,4.0,,"Nhà mặt phố, mặt tiền",Đã có sổ,,,Nội thất đầy đủ,"13,9 tỷ"
"Đường Phạm Văn Đồng, Phường 13, Quận Bình Thạnh, Tp Hồ Chí Minh",4 m,4 m,16 m²,40 m²,- 150 triệu/m²,2 phòng,3.0,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,,,,"2,4 tỷ"
"Đường Thành Thái, Phường 14, Quận 10, Tp Hồ Chí Minh",14.5 m,3.6 m,52.2 m²,180 m²,"- 197,32 triệu/m²",3 phòng,4.0,3 phòng,"Nhà ngõ, hẻm",Đã có sổ,,Đông Nam,Nội thất cao cấp,"10,3 tỷ"
"91/46, Hẻm 91 Đường Lê Văn Duyệt, Phường 3, Quận Bình Thạnh, Tp Hồ Chí Minh",15 m,3.3 m,41.7 m²,116 m²,"- 165,47 triệu/m²",4 phòng,3.0,5 phòng,"Nhà ngõ, hẻm",Đã có sổ,Nhà nở hậu,Đông,Nội thất cao cấp,"6,9 tỷ"
"Đường Thích Quảng Đức, Phường 5, Quận Phú Nhuận, Tp Hồ Chí Minh",4 m,6 m,26 m²,,"- 103,08 triệu/m²",2 phòng,2.0,3 phòng,"Nhà ngõ, hẻm",Đã có sổ,,Tây Bắc,Nội thất đầy đủ,"2,68 tỷ"
"Đường Lê Văn Quới, Phường Bình Trị Đông A, Quận Bình Tân, Tp Hồ Chí Minh",15 m,4 m,60 m²,180 m²,"- 83,17 triệu/m²",3 phòng,3.0,3 phòng,"Nhà ngõ, hẻm",Đã có sổ,"Hẻm xe hơi,Nhà nở hậu",,Nội thất cao cấp,"4,99 tỷ"
"hẻm 41, Đường Hiệp Bình, Phường Hiệp Bình Chánh (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",,,23 m²,50 m²,"- 108,26 triệu/m²",2 phòng,2.0,2 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,,,Hoàn thiện cơ bản,"2,49 tỷ"
"Dương Công Khi, Xã Xuân Thới Thượng, Huyện Hóc Môn, Tp Hồ Chí Minh",10 m,4 m,10 m²,80 m²,"- 42,50 triệu/m²",2 phòng,2.0,2 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,Hẻm xe hơi,,Nội thất đầy đủ,425 triệu
"Hẻm 76 Xuân Diệu , Xuân Diệu, Phường 4, Quận Tân Bình, Tp Hồ Chí Minh",,,10.59 m²,31.77 m²,"- 160,53 triệu/m²",2 phòng,3.0,1 phòng,"Nhà ngõ, hẻm",Đã có sổ,,Tây,Bàn giao thô,"1,7 tỷ"
"Hiệp Thành 07, Phường Hiệp Thành, Quận 12, Tp Hồ Chí Minh",6 m,3.5 m,21 m²,40 m²,"- 40,48 triệu/m²",2 phòng,2.0,2 phòng,"Nhà ngõ, hẻm",Sổ chung / công chứng vi bằng,,,Hoàn thiện cơ bản,850 triệu
"Số 6, Phường 11, Quận 6, Tp Hồ Chí Minh",16 m,4 m,68 m²,400 m²,"- 188,24 triệu/m²",6 phòng,5.0,6 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,Hẻm xe hơi,,Nội thất cao cấp,"12,8 tỷ"
"Đường Lê Văn Sỹ, Phường 12, Quận 3, Tp Hồ Chí Minh",11 m,3.7 m,40 m²,40 m²,- 210 triệu/m²,3 phòng,5.0,4 phòng,"Nhà ngõ, hẻm",Đã có sổ,,,Nội thất đầy đủ,"8,4 tỷ"
"Cần Bán Nhà Đường 244, Tăng Nhơn Phú B, Phường Tăng Nhơn Phú B (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",15 m,5.2 m,77 m²,,"- 84,42 triệu/m²",3 phòng,1.0,3 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,Hẻm xe hơi,Đông Bắc,Nội thất cao cấp,"6,5 tỷ"
"Đường cao tốc Bến Lức - Long Thành, Xã Bình Chánh, Huyện Bình Chánh, Tp Hồ Chí Minh",20 m,4 m,80 m²,,"- 9,50 triệu/m²",3 phòng,1.0,3 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,Nội thất đầy đủ,760 triệu
"Đường Trần Bá Giao, Phường 5, Quận Gò Vấp, Tp Hồ Chí Minh",12 m,7.3 m,88 m²,71 m²,"- 112,50 triệu/m²",4 phòng,,4 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,Hẻm xe hơi,,,"9,9 tỷ"
"Cây Trâm, Phường 11, Quận Gò Vấp, Tp Hồ Chí Minh",16 m,4 m,48 m²,,"- 120,83 triệu/m²",3 phòng,1.0,,"Nhà mặt phố, mặt tiền",Đã có sổ,Hẻm xe hơi,Đông,Nội thất cao cấp,"5,8 tỷ"
"Đường Số 13 Bình Chiểu, Phường Bình Chiểu (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",18 m,5 m,83 m²,,"- 78,31 triệu/m²",2 phòng,2.0,2 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,Hẻm xe hơi,Đông Nam,Nội thất cao cấp,"6,5 tỷ"
"Số, Phường Bình Trưng Đông (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",15.2 m,4 m,62.4 m²,,"- 104,17 triệu/m²",4 phòng,,4 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,,,,"6,5 tỷ"
"Đường Lâm Văn Bền, Phường Tân Kiểng, Quận 7, Tp Hồ Chí Minh",32 m,5 m,178 m²,350 m²,"- 165,17 triệu/m²",4 phòng,,,"Nhà mặt phố, mặt tiền",Đã có sổ,,,,"29,4 tỷ"
"Đường Hòa Hảo, Phường 7, Quận 10, Tp Hồ Chí Minh",13 m,4 m,53 m²,53 m²,"- 61,32 triệu/m²",4 phòng,,,Nhà phố liền kề,Đã có sổ,,,,"3,25 tỷ"
"Thép Mới, Phường 12, Quận Tân Bình, Tp Hồ Chí Minh",12 m,4 m,48 m²,48 m²,"- 55,21 triệu/m²",4 phòng,2.0,4 phòng,"Nhà ngõ, hẻm",Đã có sổ,,,Nội thất đầy đủ,"2,65 tỷ"
"TCH 18, Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh",,,44 m²,70 m²,"- 62,50 triệu/m²",2 phòng,2.0,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,Nhà nở hậu,,,"2,75 tỷ"
"Đường Liên khu 4-5, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",16 m,4 m,65 m²,65 m²,"- 37,69 triệu/m²",2 phòng,2.0,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,"Hẻm xe hơi,Nhà nát",,Nội thất đầy đủ,"2,45 tỷ"
"Đường Lý Chính Thắng, Phường Võ Thị Sáu, Quận 3, Tp Hồ Chí Minh",,,33 m²,,"- 105,76 triệu/m²",5 phòng,,5 phòng,"Nhà ngõ, hẻm",Đã có sổ,,,,"3,49 tỷ"
"Đường Nguyễn Văn Nghi, Phường 7, Quận Gò Vấp, Tp Hồ Chí Minh",7 m,3 m,20 m²,40 m²,- 99 triệu/m²,2 phòng,,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,,,,"1,98 tỷ"
"Đường Số 53, Phường Tân Phong, Quận 7, Tp Hồ Chí Minh",15 m,4 m,60 m²,210 m²,"- 231,67 triệu/m²",5 phòng,4.0,,"Nhà mặt phố, mặt tiền",Đã có sổ,,,Nội thất đầy đủ,"13,9 tỷ"
"Đường Phạm Văn Đồng, Phường 13, Quận Bình Thạnh, Tp Hồ Chí Minh",4 m,4 m,16 m²,40 m²,- 150 triệu/m²,2 phòng,3.0,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,,,,"2,4 tỷ"
"117, Lý Thánh Tông, Phường Tân Thới Hòa, Quận Tân Phú, Tp Hồ Chí Minh",26 m,4.2 m,110 m²,267 m²,"- 124,55 triệu/m²",3 phòng,2.0,3 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,,Nam,Hoàn thiện cơ bản,"13,7 tỷ"
"Đường Nguyễn Thượng Hiền, Phường 5, Quận Bình Thạnh, Tp Hồ Chí Minh",11.5 m,4.5 m,51.75 m²,180 m²,"- 177,78 triệu/m²",4 phòng,4.0,5 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,Tây Nam,Nội thất cao cấp,"9,2 tỷ"
"Đường Nguyễn Văn Luông, Phường 11, Quận 6, Tp Hồ Chí Minh",,,90 m²,,"- 105,56 triệu/m²",3 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,,,,"9,5 tỷ"
"Đường Lê Đức Thọ, Phường 6, Quận Gò Vấp, Tp Hồ Chí Minh",15 m,5 m,75 m²,,"- 114,67 triệu/m²",4 phòng,4.0,5 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"8,6 tỷ"
"Đường Lâm Thị Hố, Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh",14.5 m,4 m,56.1 m²,185 m²,"- 103,39 triệu/m²",4 phòng,3.0,5 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,Hẻm xe hơi,Bắc,Nội thất đầy đủ,"5,8 tỷ"
"Đường Cây Bài, Xã Phước Vĩnh An, Huyện Củ Chi, Tp Hồ Chí Minh",49 m,5 m,245 m²,245 m²,"- 8,98 triệu/m²",5 phòng,11.0,5 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,,,Hoàn thiện cơ bản,"2,2 tỷ"
"Đường Dương Đình Cúc, Xã Tân Kiên, Huyện Bình Chánh, Tp Hồ Chí Minh",18 m,5 m,90 m²,150 m²,"- 15,54 triệu/m²",3 phòng,1.0,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,Đông Nam,Bàn giao thô,"1,399 tỷ"
"Đường Trương Quốc Dung, Phường 10, Quận Phú Nhuận, Tp Hồ Chí Minh",18 m,7 m,126 m²,,"- 276,98 triệu/m²",4 phòng,3.0,4 phòng,Nhà biệt thự,Đã có sổ,Hẻm xe hơi,,Nội thất cao cấp,"34,9 tỷ"
"Nơ Trang Long, Phường 7, Quận Bình Thạnh, Tp Hồ Chí Minh",12 m,4 m,48 m²,48 m²,"- 239,58 triệu/m²",4 phòng,5.0,5 phòng,"Nhà ngõ, hẻm",Đã có sổ,,Tây Nam,,"11,5 tỷ"
"Số 7, Phường Tam Bình (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",17 m,4.1 m,71 m²,200 m²,"- 91,55 triệu/m²",4 phòng,,4 phòng,Nhà phố liền kề,Đã có sổ,,,,"6,5 tỷ"
"Đường số 4, Phường Bình Hưng Hòa, Quận Bình Tân, Tp Hồ Chí Minh",15 m,4.03 m,60 m²,,"- 71,42 triệu/m²",2 phòng,2.0,,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"4,285 tỷ"
"237/33/107, Đường Phạm Văn Chiêu, Phường 14, Quận Gò Vấp, Tp Hồ Chí Minh",6 m,4 m,24 m²,,"- 133,33 triệu/m²",2 phòng,2.0,3 phòng,"Nhà ngõ, hẻm",Đã có sổ,,Tây Nam,,"3,2 tỷ"
"Đường Lê Văn Thọ, Phường 9, Quận Gò Vấp, Tp Hồ Chí Minh",12 m,3.5 m,42 m²,80 m²,"- 127,38 triệu/m²",3 phòng,,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,"Hẻm xe hơi,Nhà nở hậu",,Nội thất cao cấp,"5,35 tỷ"
"Đs, Phường 16, Quận Gò Vấp, Tp Hồ Chí Minh",7.5 m,4 m,30 m²,60 m²,- 70 triệu/m²,2 phòng,2.0,2 phòng,"Nhà mặt phố, mặt tiền",Sổ chung / công chứng vi bằng,,Tây,Nội thất đầy đủ,"2,1 tỷ"
"Đường Tây Thạnh, Phường Tây Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",15 m,4 m,10 m²,180 m²,- 94 triệu/m²,3 phòng,2.0,,"Nhà ngõ, hẻm",Đã có sổ,"Hẻm xe hơi,Nhà nở hậu",,,940 triệu
"Đường Trần Trọng Cung, Phường Tân Thuận Đông, Quận 7, Tp Hồ Chí Minh",,,68 m²,,"- 123,53 triệu/m²",2 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,,,,"8,4 tỷ"
"Đường Lê Trọng Tấn, Phường Bình Hưng Hòa, Quận Bình Tân, Tp Hồ Chí Minh",13 m,7.8 m,101.4 m²,101.4 m²,"- 62,13 triệu/m²",5 phòng,,,"Nhà mặt phố, mặt tiền",Đã có sổ,"Nhà nở hậu,Hẻm xe hơi",,,"6,3 tỷ"
"Đường Nguyên Hồng, Phường 1, Quận Gò Vấp, Tp Hồ Chí Minh",10 m,3.5 m,35 m²,180 m²,- 140 triệu/m²,3 phòng,5.0,4 phòng,"Nhà ngõ, hẻm",Đã có sổ,"Nhà chưa hoàn công,Hẻm xe hơi",,Nội thất đầy đủ,"4,9 tỷ"
"Đường Đinh Văn Ước, Xã Hưng Long, Huyện Bình Chánh, Tp Hồ Chí Minh",,,110 m²,,"- 15,45 triệu/m²",3 phòng,2.0,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,Nội thất cao cấp,"1,7 tỷ"
"Đường Nguyễn Thị Búp, Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh",35 m,9 m,315 m²,315 m²,"- 66,67 triệu/m²",5 phòng,1.0,6 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,"Hẻm xe hơi,Nhà nở hậu",,Nội thất đầy đủ,21 tỷ
Đường Lưu Hữu Phước,,,44 m²,,"- 69,32 triệu/m²",2 phòng,2.0,,"Nhà ngõ, hẻm",Đã có sổ,,Đông Nam,Nội thất đầy đủ,"3,05 tỷ"
"Đường Tân Sơn Nhì, Phường Tân Sơn Nhì, Quận Tân Phú, Tp Hồ Chí Minh",22 m,9 m,192 m²,,"- 286,46 triệu/m²",6 phòng,,,"Nhà mặt phố, mặt tiền",Đã có sổ,,,,55 tỷ
"Đường Tân Sơn Nhì, Phường Tân Sơn Nhì, Quận Tân Phú, Tp Hồ Chí Minh",22 m,9 m,192 m²,,"- 286,46 triệu/m²",6 phòng,,,"Nhà mặt phố, mặt tiền",Đã có sổ,,,,55 tỷ
"240/, Đường Lưu Hữu Phước, Phường 15, Quận 8, Tp Hồ Chí Minh",8 m,4 m,32 m²,48 m²,"- 74,97 triệu/m²",2 phòng,1.0,3 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,Tây Nam,,"2,399 tỷ"
"1247, Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh",7.6 m,3.68 m,28 m²,,"- 92,86 triệu/m²",2 phòng,3.0,3 phòng,"Nhà ngõ, hẻm",Đã có sổ,,Đông,,"2,6 tỷ"
"Đường Trịnh Như Khuê, Xã Bình Chánh, Huyện Bình Chánh, Tp Hồ Chí Minh",19.6 m,5 m,98 m²,160 m²,"- 13,16 triệu/m²",3 phòng,1.0,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,Tây Bắc,Bàn giao thô,"1,29 tỷ"
"Đường Nguyễn Thị Minh Khai, Phường Đa Kao, Quận 1, Tp Hồ Chí Minh",,,70 m²,,"- 228,57 triệu/m²",1 phòng,,,"Nhà ngõ, hẻm",Đã có sổ,,,,16 tỷ
"Đường An Phú Tây - Hưng Long, Xã An Phú Tây, Huyện Bình Chánh, Tp Hồ Chí Minh",20 m,5 m,100 m²,80 m²,"- 8,70 triệu/m²",4 phòng,1.0,3 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,Nam,Nội thất đầy đủ,870 triệu
"nguyễn văn bứa nối dài, Xã Xuân Thới Thượng, Huyện Hóc Môn, Tp Hồ Chí Minh",,,15 m²,,- 30 triệu/m²,2 phòng,1.0,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hiện trạng khác,,,450 triệu
"Đường Âu Cơ, Phường Phú Trung, Quận Tân Phú, Tp Hồ Chí Minh",12 m,4 m,47 m²,,"- 148,94 triệu/m²",4 phòng,3.0,3 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,Hẻm xe hơi,,,7 tỷ
"Hẻm 33 Nguyễn Sỹ Sách, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh",12 m,4 m,45.2 m²,82.8 m²,"- 103,98 triệu/m²",2 phòng,2.0,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,Tây Bắc,Hoàn thiện cơ bản,"4,7 tỷ"
"Nguyễn Thị Búp, Phường Hiệp Thành, Quận 12, Tp Hồ Chí Minh",6 m,4 m,24 m²,,"- 58,33 triệu/m²",2 phòng,,,"Nhà ngõ, hẻm",Sổ chung / công chứng vi bằng,,,,"1,4 tỷ"
"2225, Đường Phạm Thế Hiển, Phường 6, Quận 8, Tp Hồ Chí Minh",16 m,9 m,151 m²,138 m²,"- 37,75 triệu/m²",3 phòng,1.0,,"Nhà mặt phố, mặt tiền",Đã có sổ,Hẻm xe hơi,,Hoàn thiện cơ bản,"5,7 tỷ"
"Đường Đường số 21, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",10 m,4 m,72 m²,,"- 66,67 triệu/m²",2 phòng,2.0,2 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,Hẻm xe hơi,,,"4,8 tỷ"
"Đường Vũ Tùng, Phường 2, Quận Bình Thạnh, Tp Hồ Chí Minh",13.2 m,3.05 m,37.7 m²,,"- 184,35 triệu/m²",4 phòng,2.0,3 phòng,"Nhà ngõ, hẻm",Đã có sổ,"Hẻm xe hơi,Nhà nở hậu",Tây Bắc,Nội thất cao cấp,"6,95 tỷ"
"Thành Thái, Phường 14, Quận 10, Tp Hồ Chí Minh",7 m,5 m,35 m²,105 m²,"- 197,14 triệu/m²",3 phòng,4.0,3 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hiện trạng khác,,,"6,9 tỷ"
"822 Hương Lộ 2, Phường Bình Trị Đông A, Quận Bình Tân, Tp Hồ Chí Minh",18 m,4 m,72 m²,,"- 80,42 triệu/m²",5 phòng,4.0,5 phòng,"Nhà ngõ, hẻm",Đã có sổ,"Hẻm xe hơi,Nhà nở hậu",,Nội thất cao cấp,"5,79 tỷ"
"Đường Lê Trọng Tấn, Phường Bình Hưng Hòa, Quận Bình Tân, Tp Hồ Chí Minh",,,66 m²,,"- 90,61 triệu/m²",4 phòng,4.0,4 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"5,98 tỷ"
"Hẻm 369 Lý Thái Tổ, Phường 9, Quận 10, Tp Hồ Chí Minh",10 m,3.5 m,35 m²,130 m²,"- 205,71 triệu/m²",3 phòng,3.0,3 phòng,"Nhà ngõ, hẻm",Đã có sổ,,,,"7,2 tỷ"
"Ba Tháng Hai, Phường 14, Quận 10, Tp Hồ Chí Minh",15 m,4.1 m,60 m²,120 m²,"- 138,33 triệu/m²",2 phòng,2.0,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,,,"8,3 tỷ"
"Đường Hoàng Phan Thái, Xã Bình Chánh, Huyện Bình Chánh, Tp Hồ Chí Minh",16 m,5 m,80 m²,80 m²,"- 8,50 triệu/m²",3 phòng,1.0,2 phòng,"Nhà mặt phố, mặt tiền",Đã có sổ,,Tây,Nội thất đầy đủ,680 triệu
Cách Mạng Tháng Tám,15 m,42 m,64 m²,64 m²,"- 176,56 triệu/m²",2 phòng,,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,,,,"11,3 tỷ"
"Đường Nguyễn Thiện Thuật, Phường 2, Quận 3, Tp Hồ Chí Minh",10 m,3.1 m,30 m²,120 m²,"- 226,67 triệu/m²",3 phòng,4.0,4 phòng,"Nhà ngõ, hẻm",Đã có sổ,,,,"6,8 tỷ"
"Đường Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Tp Hồ Chí Minh",6 m,3.2 m,18 m²,50 m²,"- 194,44 triệu/m²",3 phòng,5.0,2 phòng,"Nhà ngõ, hẻm",Đã có sổ,Hẻm xe hơi,Tây Nam,,"3,5 tỷ"
